######## Translation table for ROC # 5
######## Tue Aug 12 10:17:27 EDT 1997
######## By uid=2420(burin) gid=15(users)
######## Version # 3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	9	31	0	25	0	5	6	1877	73
DC0     2	11	30	0	25	0	5	6	1877	74
DC0     2	12	29	0	25	0	5	6	1877	75
DC0     2	10	30	0	25	0	5	6	1877	76
DC0     2	8	31	0	25	0	5	6	1877	77
DC0     2	7	33	0	25	0	5	6	1877	78
DC0     2	9	32	0	25	0	5	6	1877	79
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	11	27	0	25	0	5	6	1877	80
DC0     2	12	26	0	25	0	5	6	1877	81
DC0     2	10	27	0	25	0	5	6	1877	82
DC0     2	8	28	0	25	0	5	6	1877	83
DC0     2	7	30	0	25	0	5	6	1877	84
DC0     2	9	29	0	25	0	5	6	1877	85
DC0     2	11	28	0	25	0	5	6	1877	86
DC0     2	12	27	0	25	0	5	6	1877	87
DC0     2	10	32	0	25	0	5	6	1877	88
DC0     2	8	33	0	25	0	5	6	1877	89
DC0     2	7	35	0	25	0	5	6	1877	90
DC0     2	9	34	0	25	0	5	6	1877	91
DC0     2	11	33	0	25	0	5	6	1877	92
DC0     2	12	32	0	25	0	5	6	1877	93
DC0     2	10	33	0	25	0	5	6	1877	94
DC0     2	8	34	0	25	0	5	6	1877	95
DC0     2	7	4	1	25	0	5	6	1877	0
DC0     2	9	3	1	25	0	5	6	1877	1
DC0     2	11	2	1	25	0	5	6	1877	2
DC0     2	12	1	1	25	0	5	6	1877	3
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	10	2	1	25	0	5	6	1877	4
DC0     2	8	3	1	25	0	5	6	1877	5
DC0     2	7	5	1	25	0	5	6	1877	6
DC0     2	9	4	1	25	0	5	6	1877	7
DC0     2	11	7	1	25	0	5	6	1877	8
DC0     2	12	6	1	25	0	5	6	1877	9
DC0     2	10	7	1	25	0	5	6	1877	10
DC0     2	8	8	1	25	0	5	6	1877	11
DC0     2	7	10	1	25	0	5	6	1877	12
DC0     2	9	9	1	25	0	5	6	1877	13
DC0     2	11	8	1	25	0	5	6	1877	14
DC0     2	12	7	1	25	0	5	6	1877	15
DC0     2	10	4	1	25	0	5	6	1877	16
DC0     2	8	5	1	25	0	5	6	1877	17
DC0     2	7	7	1	25	0	5	6	1877	18
DC0     2	9	6	1	25	0	5	6	1877	19
DC0     2	11	5	1	25	0	5	6	1877	20
DC0     2	12	4	1	25	0	5	6	1877	21
DC0     2	10	5	1	25	0	5	6	1877	22
DC0     2	8	6	1	25	0	5	6	1877	23
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	7	12	1	25	0	5	6	1877	24
DC0     2	9	11	1	25	0	5	6	1877	25
DC0     2	11	10	1	25	0	5	6	1877	26
DC0     2	12	9	1	25	0	5	6	1877	27
DC0     2	10	10	1	25	0	5	6	1877	28
DC0     2	8	11	1	25	0	5	6	1877	29
DC0     2	7	13	1	25	0	5	6	1877	30
DC0     2	9	12	1	25	0	5	6	1877	31
DC0     2	11	15	1	25	0	5	6	1877	32
DC0     2	12	14	1	25	0	5	6	1877	33
DC0     2	10	15	1	25	0	5	6	1877	34
DC0     2	8	16	1	25	0	5	6	1877	35
DC0     2	7	18	1	25	0	5	6	1877	36
DC0     2	9	17	1	25	0	5	6	1877	37
DC0     2	11	16	1	25	0	5	6	1877	38
DC0     2	12	15	1	25	0	5	6	1877	39
DC0     2	10	12	1	25	0	5	6	1877	40
DC0     2	8	13	1	25	0	5	6	1877	41
DC0     2	7	15	1	25	0	5	6	1877	42
DC0     2	9	14	1	25	0	5	6	1877	43
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	11	13	1	25	0	5	6	1877	44
DC0     2	12	12	1	25	0	5	6	1877	45
DC0     2	10	13	1	25	0	5	6	1877	46
DC0     2	8	14	1	25	0	5	6	1877	47
DC0     2	7	20	1	25	0	5	6	1877	48
DC0     2	9	19	1	25	0	5	6	1877	49
DC0     2	11	18	1	25	0	5	6	1877	50
DC0     2	12	17	1	25	0	5	6	1877	51
DC0     2	10	18	1	25	0	5	6	1877	52
DC0     2	8	19	1	25	0	5	6	1877	53
DC0     2	7	21	1	25	0	5	6	1877	54
DC0     2	9	20	1	25	0	5	6	1877	55
DC0     2	11	23	1	25	0	5	6	1877	56
DC0     2	12	22	1	25	0	5	6	1877	57
DC0     2	10	23	1	25	0	5	6	1877	58
DC0     2	8	24	1	25	0	5	6	1877	59
DC0     2	7	26	1	25	0	5	6	1877	60
DC0     2	9	25	1	25	0	5	6	1877	61
DC0     2	11	24	1	25	0	5	6	1877	62
DC0     2	12	23	1	25	0	5	6	1877	63
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	10	20	1	25	0	5	6	1877	64
DC0     2	8	21	1	25	0	5	6	1877	65
DC0     2	7	23	1	25	0	5	6	1877	66
DC0     2	9	22	1	25	0	5	6	1877	67
DC0     2	11	21	1	25	0	5	6	1877	68
DC0     2	12	20	1	25	0	5	6	1877	69
DC0     2	10	21	1	25	0	5	6	1877	70
DC0     2	8	22	1	25	0	5	6	1877	71
DC0     2	7	28	1	25	0	5	6	1877	72
DC0     2	9	27	1	25	0	5	6	1877	73
DC0     2	11	26	1	25	0	5	6	1877	74
DC0     2	12	25	1	25	0	5	6	1877	75
DC0     2	10	26	1	25	0	5	6	1877	76
DC0     2	8	27	1	25	0	5	6	1877	77
DC0     2	7	29	1	25	0	5	6	1877	78
DC0     2	9	28	1	25	0	5	6	1877	79
DC0     2	11	31	1	25	0	5	6	1877	80
DC0     2	12	30	1	25	0	5	6	1877	81
DC0     2	10	31	1	25	0	5	6	1877	82
DC0     2	8	32	1	25	0	5	6	1877	83
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	7	34	1	25	0	5	6	1877	84
DC0     2	9	33	1	25	0	5	6	1877	85
DC0     2	11	32	1	25	0	5	6	1877	86
DC0     2	12	31	1	25	0	5	6	1877	87
DC0     2	10	28	1	25	0	5	6	1877	88
DC0     2	8	29	1	25	0	5	6	1877	89
DC0     2	7	31	1	25	0	5	6	1877	90
DC0     2	9	30	1	25	0	5	6	1877	91
DC0     2	11	29	1	25	0	5	6	1877	92
DC0     2	12	28	1	25	0	5	6	1877	93
DC0     2	10	29	1	25	0	5	6	1877	94
DC0     2	8	30	1	25	0	5	6	1877	95
DC0     2	7	40	0	25	0	5	7	1877	0
DC0     2	9	39	0	25	0	5	7	1877	1
DC0     2	11	38	0	25	0	5	7	1877	2
DC0     2	12	37	0	25	0	5	7	1877	3
DC0     2	10	38	0	25	0	5	7	1877	4
DC0     2	8	39	0	25	0	5	7	1877	5
DC0     2	7	41	0	25	0	5	7	1877	6
DC0     2	9	40	0	25	0	5	7	1877	7
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	11	35	0	25	0	5	7	1877	8
DC0     2	12	34	0	25	0	5	7	1877	9
DC0     2	10	35	0	25	0	5	7	1877	10
DC0     2	8	36	0	25	0	5	7	1877	11
DC0     2	7	38	0	25	0	5	7	1877	12
DC0     2	9	37	0	25	0	5	7	1877	13
DC0     2	11	36	0	25	0	5	7	1877	14
DC0     2	12	35	0	25	0	5	7	1877	15
DC0     2	10	40	0	25	0	5	7	1877	16
DC0     2	8	41	0	25	0	5	7	1877	17
DC0     2	7	43	0	25	0	5	7	1877	18
DC0     2	9	42	0	25	0	5	7	1877	19
DC0     2	11	41	0	25	0	5	7	1877	20
DC0     2	12	40	0	25	0	5	7	1877	21
DC0     2	10	41	0	25	0	5	7	1877	22
DC0     2	8	42	0	25	0	5	7	1877	23
DC0     2	7	48	0	25	0	5	7	1877	24
DC0     2	9	47	0	25	0	5	7	1877	25
DC0     2	11	46	0	25	0	5	7	1877	26
DC0     2	12	45	0	25	0	5	7	1877	27
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	10	46	0	25	0	5	7	1877	28
DC0     2	8	47	0	25	0	5	7	1877	29
DC0     2	7	49	0	25	0	5	7	1877	30
DC0     2	9	48	0	25	0	5	7	1877	31
DC0     2	11	43	0	25	0	5	7	1877	32
DC0     2	12	42	0	25	0	5	7	1877	33
DC0     2	10	43	0	25	0	5	7	1877	34
DC0     2	8	44	0	25	0	5	7	1877	35
DC0     2	7	46	0	25	0	5	7	1877	36
DC0     2	9	45	0	25	0	5	7	1877	37
DC0     2	11	44	0	25	0	5	7	1877	38
DC0     2	12	43	0	25	0	5	7	1877	39
DC0     2	10	48	0	25	0	5	7	1877	40
DC0     2	8	49	0	25	0	5	7	1877	41
DC0     2	7	51	0	25	0	5	7	1877	42
DC0     2	9	50	0	25	0	5	7	1877	43
DC0     2	11	49	0	25	0	5	7	1877	44
DC0     2	12	48	0	25	0	5	7	1877	45
DC0     2	10	49	0	25	0	5	7	1877	46
DC0     2	8	50	0	25	0	5	7	1877	47
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
DC0     2	7	56	0	25	0	5	7	1877	48
DC0     2	9	55	0	25	0	5	7	1877	49
DC0     2	11	54	0	25	0	5	7	1877	50
DC0     2	12	53	0	25	0	5	7	1877	51
DC0     2	10	54	0	25	0	5	7	1877	52
DC0     2	8	55	0	25	0	5	7	1877	53
DC0     2	7	57	0	25	0	5	7	1877	54
DC0     2	9	56	0	25	0	5	7	1877	55
DC0     2	11	51	0	25	0	5	7	1877	56
DC0     2	12	50	0	25	0	5	7	1877	57
DC0     2	10	51	0	25	0	5	7	1877	58
DC0     2	8	52	0	25	0	5	7	1877	59
DC0     2	7	54	0	25	0	5	7	1877	60
DC0     2	9	53	0	25	0	5	7	1877	61
DC0     2	11	52	0	25	0	5	7	1877	62
DC0     2	12	51	0	25	0	5	7	1877	63
DC0     2	10	56	0	25	0	5	7	1877	64
DC0     2	8	57	0	25	0	5	7	1877	65
DC0     2	7	59	0	25	0	5	7	1877	66
DC0     2	9	58	0	25	0	5	7	1877	67
#bank	sector#	sd1#	sd2#	ind#	tag#	stat#	roc#	slot#	type	channel#
